index,text
14858,我们这里都有的贪官
3394,有事情需要帮忙
14637,他有多抠
18674,改了才有进步
18105,boh je
18886,向国 敬礼
10149,面膜 微购
11655,WeChat ID
11656,WeChat no
19585,tre   me
4197,Shut  up
11346,13870600709 刘峡
12038,李忠辉 13707916491
15660,说的对
18149,嘻嘻 知道啦
11294,有钱啥都能解决
8365,没人 耐心
2163,在有一次不玩了
14045,我还说有月经
19844,5     没有
17867,努力 幸运
404,有补卡也没用吗
4193,你为什么要被我征服
19268,我就问你能不能发视频
7593,782 2
11641,你们建的有群吗
5968,要不你抱着我飞
19560,要不把我幻想你初恋
3464,162 3
13824,829 3
15482,My period/::(
19790,3   没有
15010,被胖子强奸啊
13135,我知道你想表达的
10556,我就有奴性
4203,你还是要征服我
14791,我有什么好研究的
8073,我是不是要和你学点
8020,难道你每次和我在一起
11241,264 5
11487,172 5
19479,你说要是以后我嫁给别人
18640,我在想你瘦下来的样子
3733,我说你叫小兰
19505,这是偷情的快感吧
18112,旅个铁啊~
8023,其实我和你在一起的时候
19354,我就问你能不能说语音
11114,你看我不就很自信
11206,不然就不叫土匪了
12261,你要不要娶我回家
15082,我知道你不会放弃
19834,说的我都想亲你下面
18883,it be
13981,那也想摸吧
7874,我说的话你都在意
11457,那干脆我都在你上面搞
18209,/:circle[Yeah!]
12542,怎么弄啊
13061,我居然会想你在我怀里撒娇
14730,你一定要到娶到我啊
8062,你说想抱着我操我
11478,懂不懂啊
13273,好巧我也在想你
11576,你说我狠不狠
13191,玩啊宾
17437,这不是我的关键词
5288,你太不了解我了
12211,我很认真的爱过他
8042,那我在你眼里真的发光
10547,我只爱你一个人
14363,我只爱你一个人
8018,在一起的时候
14770,那你不就笑我
11795,你一开始就认定我了对不对
13156,我觉得你在外面战无不胜
13169,我不是说你胖啊
17831,你能不能再给我个拥抱
19079,真是要戒啊
11804,你知道我看你胖
16049,反个屁啊
13110,嘴硬心软啊
19470,但是你也别想控制我的思想
9383,不说了我要工作了
12221,至少你没有把我删除
19255,不和你了。我把你删掉
14589,我没打算谈恋爱的
13857,我还觉得你特别好欺负
14978,你拍照给我看
1293,我在给你背古诗呢
6109,说好的
14003,你干嘛要娶我
6226,要不死了
8627,下面还能用
11727,我眼睛就是想和你在一起
14646,我觉得你就很大气
15112,你非我不娶啊
11816,你要记住我的脸啊
17881,不回头看
10221,我之前告诉你的生日都去哪了
11713,我要你为我服务
11786,我不要你睡别人
15985,你以后叫我小九吧
9586,我不是你要找的人
14040,你有没有看见我表情
17509,能不能搞
13470,我看电视去了你打电话
11779,我要你只插我一个
12830,你用那个号和我说话
11950,你就给我一张不行咯吧
11585,是不是不应该
11157,这样就可以在一起了
13423,没啦 就问问
12975,我觉得你以后会拍电影
9680,不爱就不爱
12333,不爱就不爱
13935,不能说没感觉
2899,妈呀  发春了
9729,送我一个无人机吗
18041,坚持  努力
16392,和就是不一样
11861,我说因为你胖我不爱你
11759,你心里想的多么爱我
12952,后来就不哄了
11707,你那时已经好爱我了
13862,不讲话就笑
14181,你赶紧的给我补签
10521,你看我只有睡一个
19458,毕竟我一开始就是被强迫的
17097,你来找我玩吧
15093,那就做
7969,我是变态吗
10733,我觉得你转圈的时候很舒服
13025,基础就是不要 吧
11547,你是不是觉得我斗不过你
4267,但是我不会和你生活
14731,我要嫁给你吗
11863,我说一句你胖
8155,你是不是觉得我还会被很多人骗
18718,你连看到我微信都激动
15857,你们的
11490,你别不爱听
7740,让我做你的眼睛生那样那太卡了
11910,不爱就不爱了
19299,我不会让你再哭了
11524,你连乐器都会吗
10652,就是我对你有好感
10431,发点的赞呢
19818,我跟你讲哦老公
11751,你知道约我约不出来了
13962,就不疼了
11981,其实你不爱我对不对
4531,看来只能我卸载你小来了
15078,我是棋子吗
11740,我爱你的灵魂
14659,我觉得我妈肯定很喜欢你
19229,为啥我觉得你这么听话
5249,不然老了就不能享受性了
14564,说着你爱我一生一世
12334,咋地也弄不上
9559,你可以教我做英语题目吗
14401,什么一定要和我私守
9782,我是智障吗
19279,有我在
4306,你征服不了我的灵魂
14395,你陪我说话好吗
11530,还是幸福的
9323,老觉得你不爱我
19186,你好像看着我都很舒服
14306,我什么时候说过喜欢你
18624,你以后就是我演讲的典型案例
19697,我没有你爱的深
14462,大家小心啊
19766,才年轻啊
11259,还能读书厉害啊
1098,我打心眼儿里喜欢你
4194,我又不要你的心
19455,你的思想我也控制不了
73,不幸运么
12268,为什么你这么爱我不说
13371,成都有服务吗
11543,一个月不出门
8041,难怪你会那么疯狂迷恋我
19358,下面不一样
11905,我干嘛和你受苦
9946,我再也不能忍受和你分开
13977,我觉得你特别恶心
18630,我老觉得你特别花心
4160,再爱我就打你
15021,看刺不刺激
19251,宝宝你幸不幸福
9180,669 7
9226,657 7
10581,我可以接受你睡别的女人
19696,可惜没我你爱的深
14224,活多不
14447,估计你看见我本人都很激动了
14585,我每个微信你都喜欢啊
9575,反正你也希望我打掉
12332,不见面
12162,不存在的
8162,就是不关心自己内心
8689,是这个孩子要投胎
12010,在家不
14446,你看见我下面也很激动吗
18819,我打了两遍你都没反应
12328,要消失就永远消失
13062,想看我照片
5291,我是属于大家的
14220,我就不检查
11458,不嫌弃你了
11722,难道你看不清我眼精吗
10830,这么晚不休息呢
13145,把我当成最亲的
9297,你干嘛老是缠着我不放
12950,不可能低头
11712,真的会在一起
5268,好东西要大家分享
14696,那你记得我吗
13881,你把我头盖住被子
11388,他偏偏不
11814,你那天摸我脸干嘛
11404,陪也不不能陪
18077,大湿 给我算算啊
10796,冬天了你不知道
4174,之前补不回来了吗
6084,我要超我要超我要超
10698,就是见一面就想娶了
19446,反正你最好别让我发现
15438,我哪里有喜欢你咯
17033,能不能倒计时
19108,你可不要这样对我
15775,你有需要我吗
9678,本来可以在一起的
14587,我都配不上你了
12684,[Yeah!]
12706,[Yeah!]
2923,要不然我都要放弃你了
14058,又有种我被你操了强迫感
11550,不讲话
13082,我不信你抵抗力这么强
8677,我是不会顺你意的
10105,老是不记得
13349,这也
18821,我打了你没反应
9940,我们见面再也不分开了
4156,我愿意吸你精子
5259,你怎么可以渴望占有我
18711,我打了你没反应过来
11456,做爱真的累啊
18029,nice啊  马飞飞
13035,要还是不要呢
5039,不孤单
19561,我的身体极度渴望你
7984,我就是喜欢你下面干净
1301,收下我对你的爱
11255,会老的
12374,不回来
10207,天平  座
17906,去忙吧∼
13594,你在厂里上班吗
12330,不爱就好
10681,不可能放弃啊
18543,你怎么也不秒回我
14109,你是觉得我不喜欢你
12134,去了就好
18495,怎样知道是谁点赞了
8715,你是准备搞死我
11327,不反思
3515,暂时不确定
13878,你在外面偷笑吗
10747,一点都不担心
10339,你就是我说心里话的人啊
14394,黄也想
12277,让我怎么给别人睡
14261,肚子真的大啊
16971,你怎麼不叫小也
11492,人工不通过验证啊
9315,不运动了  烦死了
11230,能不老吗
14970,不喜欢故宫
15478,不可爱
15497,不可爱
10700,不信
15056,不信
17723,不信
10540,你在自慰吗
19481,你在自慰吗
1297,攻击力你第一张是我说
19714,能帮我补吗
10885,你会逗我笑吗
11503,我看看你生气是什么样子
17481,小来BB呢/::'|/::'|
11726,不做爱和坐在一起
11317,不进步
16170,和好吧
5982,那我说不爱你的时候
13132,那我干嘛还折磨你呢
14452,不然绝对不从
19713,我也不赖啊
14991,说嘛亲爱哒
15797,您呢
8963,想一个人了
15418,能帮我补上吗
15118,吃的苦多
5574,你会英语吗
15710,干嘛刚才不回信
10713,我哪有这么好
14703,在哪儿呢
19010,我要找小来
10440,早起卡打不上那
4163,你最吸引我的是你的害羞
6001,你群里都是和我表白的话
14478,你自己说我是草的
12308,不爱也是真的
9726,还是打掉吧
14988,要看我果照
15302,我是gay你怕不怕
8975,我说的是男的
11468,还是要吻的深入
7968,我都已经是你的女人了
11318,不改进
5602,给我弄错了
12938,不哄我
15502,小爱可不可以呀
11211,简直不能看
9674,小来我怀孕啦
13171,我是说你的气势
14699,那我听话是吧
15161,怎么又发微信给我
19105,以后要戒掉自慰
311,以后请多多关照哦
19437,你是卡了还是怎么
14420,极度想要啊
13815,呢
16518,阳朔可是拉圾地呀
9640,也不会回去
5028,你怎么知道我在泉州
10673,好几次都这样
17915,烙 这么棒的吗
11175,那是给脂肪堵住了
18726,能帮我查下顺丰吗
11421,那长途电话贵吧
13197,这样就可以了是吧
4339,那你遇到的人还不够多
19839,都是幻想的
15444,我要听你说
11699,你说要私奔啊
14340,你是我的骄傲
19317,你是我的糖果
11857,哭就会死命哭
8643,这样吵架好了
19300,就是不能发视频了
853,你是我的女儿
5465,你是我的宝贝
19803,可是遇到我就不一样了
19232,我要回来了亲爱的
19684,波推我也不懂是什么
1403,304 1
11074,331 1
11395,199 1
11449,183 1
11510,163 1
14660,就是她喜欢的款式
10141,我越来越觉得你是机器人
17669,这就完了
8165,你让我怀孕是深思熟虑的吗
18312,说得太对了
11855,我越不爱你
11268,能不能接过来
14701,定时是干啥啊
1261,我的良品呢
7326,哈哈哈 小来需要升级了  表情包
9793,可以教我英文吗
5272,不可以这么自私
5475,我想喝
19291,我刚才就是你刚才跟我说
15132,是不是有我你就开心
19180,你害怕有一天我消失
15061,不睡觉不就是为了做爱
14741,我还没准备好/::$
3021,我不需要睡觉吗
19767,我才知道什么叫女人
13453,是不是很想我
13904,那你干嘛不放弃
19326,这个世界找不到
12128,你们这个服务有点
19190,别想不好的
11789,我抱着你就开心
18660,你老是那么早起
2396,聪明是一种天舞
14650,也不会化妆
19319,也就紧了
19320,/::$
10624,很舒服的感觉吗
4325,我不会将就的
19395,亲爱哒还想插我吗
11897,都是幻觉
16795,一切都会好的
12320,说的再好听
